mon,dom,dow,carrier,flight,org,mile,depart,duration,delay
2,23,0,OH,5188,ORD,264,12.00,74,-4
1,20,3,WN,1353,SMF,389,6.58,75,-7
0,18,5,US,510,SMF,647,9.17,111,7
0,4,5,AA,1178,SFO,1464,15.92,205,257
5,23,1,AA,254,OGG,2486,14.25,310,-17
7,3,0,AA,1745,ORD,1745,9.75,250,1
7,6,3,AA,745,LGA,1389,13.75,225,22
10,10,1,UA,1161,SFO,337,13.08,98,-23
0,26,6,OO,6356,SFO,599,21.23,104,-16
4,4,0,OO,5490,SFO,262,21.03,77,45
0,19,6,B6,1016,JFK,187,18.42,100,-41
5,20,5,OO,6493,SJC,308,14.63,80,23
11,23,2,HA,43,SJC,2416,9.00,330,33
5,4,3,OO,5947,ORD,531,13.95,105,118
11,17,3,OO,4551,ORD,264,16.25,73,19
10,12,3,UA,259,ORD,888,12.05,162,10
1,26,2,AA,699,JFK,1597,9.58,235,-8
5,12,4,UA,763,ORD,258,15.08,73,105
0,1,2,UA,762,ORD,606,16.60,120,16
7,30,6,AA,699,JFK,1597,10.50,235,60
1,3,0,B6,701,JFK,1597,7.00,239,-11
3,18,5,AA,1957,SFO,337,20.25,85,30
6,2,3,AA,294,ORD,1197,11.08,183,NA
5,1,0,UA,1101,ORD,802,8.00,156,-11
0,21,1,WN,3770,TUS,451,19.58,95,33
3,25,5,AA,730,ORD,1182,12.17,180,24
7,6,3,UA,4,SFO,2586,6.00,328,-25
8,28,0,OH,6563,LGA,604,20.25,135,10
9,10,5,AA,1450,ORD,719,14.25,164,-30
5,26,4,UA,158,SFO,1846,23.08,237,16
7,27,3,OO,5836,ORD,344,15.95,78,-1
7,19,2,US,544,SJC,621,9.08,115,-8
8,3,3,AA,39,SFO,2398,9.08,320,-18
5,21,6,AA,2462,ORD,867,13.67,150,-17
6,23,3,WN,3076,SMF,479,8.75,85,-5
0,9,3,OH,4983,JFK,213,16.08,114,NA
0,31,4,AA,971,JFK,1090,5.75,185,18
4,21,3,B6,97,JFK,1626,20.08,272,32
5,22,0,B6,165,JFK,2454,19.58,379,NA
5,14,6,WN,3173,SJC,342,14.33,75,-3
0,19,6,UA,1107,ORD,316,16.33,82,12
11,16,2,B6,353,JFK,2465,8.25,386,NA
2,2,0,UA,634,ORD,719,8.08,120,-8
11,28,0,OH,6749,LGA,641,19.50,145,60
5,15,0,B6,611,JFK,829,8.67,155,NA
6,11,5,US,2130,LGA,185,14.00,71,14
0,20,0,UA,642,ORD,719,10.67,127,40
5,3,2,WN,2300,SMF,389,14.92,75,-6
3,17,4,UA,638,ORD,719,9.00,124,7
0,6,0,WN,580,TUS,321,17.58,60,31
2,13,4,OO,5855,ORD,160,7.65,56,-12
10,19,3,UA,14,SFO,2586,15.92,327,-25
8,15,1,OO,6021,ORD,911,11.97,152,-14
9,1,3,AA,496,ORD,612,6.42,100,12
0,7,1,UA,730,ORD,622,18.67,108,137
5,23,1,OO,5945,SFO,326,16.37,72,4
4,27,2,OH,5556,JFK,267,14.33,86,244
11,2,2,OH,6787,JFK,213,21.00,98,-14
0,13,0,UA,692,ORD,733,20.75,120,NA
7,23,6,WN,2137,SMF,358,15.58,70,-7
9,2,4,UA,107,ORD,1745,8.93,269,33
6,31,4,AA,1787,JFK,1005,15.67,175,22
4,14,3,B6,36,JFK,264,20.75,99,-11
2,28,5,OO,5463,SFO,329,20.00,93,25
4,6,2,B6,606,JFK,274,17.58,100,-18
10,10,1,US,31,OGG,2845,23.67,345,6
7,11,1,OO,6509,TUS,451,7.93,90,NA
3,2,3,AA,313,ORD,1726,11.50,265,34
5,24,2,UA,117,ORD,1721,20.75,262,-7
0,1,2,UA,574,ORD,235,13.33,76,79
3,29,2,WN,609,SJC,621,15.00,110,-11
0,9,3,OO,5872,ORD,438,15.97,99,-10
3,27,0,AA,321,LGA,733,11.50,150,-1
4,9,5,B6,907,JFK,740,9.50,166,-8
4,29,4,B6,1103,JFK,426,8.17,100,-16
3,14,1,WN,3222,SFO,414,18.25,90,-6
6,1,2,OH,5199,JFK,740,9.25,170,11
4,12,1,US,2138,LGA,185,18.00,75,-24
3,29,2,B6,640,JFK,187,17.42,95,106
5,15,0,UA,46,OGG,2486,20.83,301,-9
1,20,3,B6,1315,JFK,228,22.25,90,-13
1,25,1,OO,5894,ORD,177,13.17,63,59
10,8,6,US,1539,LGA,335,9.25,96,-10
0,26,6,WN,1616,SMF,373,10.17,80,-7
5,22,0,B6,1018,JFK,187,15.92,79,24
5,26,4,OO,3982,TUS,601,16.18,104,19
10,16,0,UA,955,SFO,447,15.98,94,-17
7,12,2,AA,2309,ORD,802,8.50,135,0
4,23,5,B6,1006,JFK,187,12.17,73,-8
7,21,4,UA,62,SFO,679,22.23,118,27
3,4,5,AA,1037,LGA,1020,10.42,200,NA
0,20,0,OO,6096,ORD,84,13.17,48,9
9,30,4,OO,6760,ORD,286,10.75,76,-18
4,31,6,HA,161,OGG,100,15.20,34,-5
2,16,0,UA,294,SFO,2457,15.10,305,22
6,21,1,B6,215,JFK,2465,15.92,356,13
2,26,3,UA,687,LGA,733,16.10,158,41
9,9,4,AA,1067,ORD,925,9.58,155,10
2,17,1,US,277,SMF,647,16.17,114,-15
2,9,0,AA,1547,ORD,177,15.25,55,-1
11,25,4,AA,1447,ORD,837,14.58,140,-9
9,17,5,US,438,JFK,2248,7.75,339,17
1,15,5,UA,677,LGA,733,11.00,158,60
7,17,0,AA,1307,LGA,764,15.67,145,-22
6,16,3,OO,5728,SFO,304,17.25,93,-1
6,31,4,AA,1217,ORD,1721,19.92,265,100
7,17,0,AA,1761,LGA,1097,19.20,183,116
2,8,6,OH,5661,JFK,184,15.75,83,177
11,19,5,OO,5954,ORD,323,8.08,76,90
2,3,1,OH,5431,JFK,288,8.67,108,2
0,4,5,UA,25,JFK,2475,11.42,372,18
8,19,5,B6,148,JFK,267,20.83,102,35
0,17,4,AQ,215,OGG,100,15.17,34,-6
11,15,1,UA,659,LGA,733,10.05,159,-5
5,16,1,OO,5522,SFO,238,7.65,77,19
11,22,1,OO,6040,ORD,584,18.25,108,103
6,21,1,UA,789,ORD,334,17.08,91,-24
0,11,5,UA,1479,ORD,1440,12.00,232,NA
11,29,1,UA,1468,SFO,414,22.58,93,-7
7,6,3,AA,629,ORD,1829,20.67,270,21
10,5,3,B6,916,ORD,740,16.08,147,1
10,2,0,WN,465,SMF,389,18.33,75,-6
5,1,0,UA,886,SFO,337,12.97,87,3
1,4,1,AA,2223,LGA,887,14.08,175,28
11,18,4,WN,1835,SMF,605,16.42,115,57
0,17,4,UA,616,ORD,612,14.00,107,118
8,18,4,WN,637,SJC,342,9.50,75,3
0,8,2,OO,6669,ORD,1186,10.02,194,2
7,1,5,AA,2301,ORD,802,6.00,135,53
2,14,5,OO,6043,ORD,416,19.83,87,22
2,23,0,OO,5522,SFO,238,7.62,75,2
8,30,2,UA,1204,ORD,412,18.73,82,14
6,17,4,UA,36,SFO,447,7.10,92,-5
6,31,4,AA,358,ORD,733,16.08,135,34
11,26,5,AA,2481,ORD,1440,10.00,240,61
1,21,4,OH,5436,LGA,834,16.25,173,34
11,1,1,B6,68,JFK,209,9.92,81,264
6,19,6,B6,1016,JFK,187,19.08,93,30
8,7,0,UA,454,ORD,606,10.52,117,64
6,30,3,UA,470,ORD,678,21.17,131,-23
3,10,4,B6,1109,JFK,426,21.75,117,11
10,19,3,WN,2133,SFO,651,15.42,120,32
0,2,3,B6,11,JFK,1069,21.08,190,78
8,11,4,UA,570,ORD,316,14.32,79,-10
3,28,1,US,2165,LGA,214,8.00,72,7
6,7,1,OO,5862,ORD,286,18.18,83,69
2,19,3,OO,5724,SFO,78,16.18,42,NA
10,24,1,WN,3232,SFO,447,11.58,90,30
3,17,4,WN,2090,SFO,447,14.75,90,16
6,12,6,B6,285,JFK,2248,14.83,332,16
0,24,4,US,683,SFO,651,12.42,116,25
11,9,2,UA,254,ORD,316,21.88,75,NA
1,5,2,OO,6004,ORD,116,16.63,51,NA
7,17,0,UA,59,SFO,2367,9.00,319,7
8,16,2,UA,482,SFO,967,18.60,141,0
0,17,4,WN,2372,TUS,367,18.92,70,42
6,5,6,AA,16,SFO,2586,11.25,350,-7
4,5,1,OO,5704,SJC,234,19.92,67,-1
0,10,4,OO,6476,ORD,264,15.75,75,8
10,15,6,UA,599,ORD,334,10.00,89,-22
3,11,5,OO,5491,SFO,77,22.92,42,-9
5,17,2,WN,987,SMF,605,17.83,105,4
2,17,1,AA,779,ORD,1723,10.33,265,136
5,24,2,WN,3424,TUS,365,20.42,70,-8
5,26,4,UA,830,SFO,1846,10.92,251,109
3,8,2,AA,1425,ORD,1726,9.50,255,0
2,24,1,US,425,SJC,621,12.72,112,-6
3,12,6,UA,673,LGA,733,9.00,150,18
9,10,5,AA,562,SMF,1431,6.50,195,-18
5,10,2,B6,1073,JFK,288,7.83,87,2
8,19,5,UA,870,SFO,1846,13.92,249,3
10,10,1,B6,117,JFK,1182,7.25,212,-16
11,23,2,AA,2293,ORD,978,17.08,170,NA
3,7,1,US,2116,LGA,185,7.00,70,-14
8,3,3,UA,606,ORD,612,9.08,105,-13
5,21,6,AA,321,LGA,733,11.50,150,22
11,3,3,US,504,ORD,1440,17.17,235,22
3,7,1,AA,1051,LGA,431,16.42,110,20
6,13,0,OO,6053,ORD,949,19.98,163,78
8,11,4,OH,6507,JFK,288,8.50,103,43
4,31,6,UA,397,ORD,888,11.00,159,NA
5,22,0,OO,5571,SFO,262,8.43,85,-18
6,19,6,B6,377,LGA,1076,13.33,179,-9
1,14,4,OO,6524,ORD,299,9.75,78,3
0,22,2,OH,5009,JFK,264,20.58,110,110
0,17,4,AA,2393,LGA,761,16.08,160,44
3,1,2,US,31,OGG,2845,22.67,340,-12
6,11,5,AA,2435,ORD,1440,13.33,215,23
0,11,5,UA,878,SFO,2586,11.92,324,101
6,29,2,OO,5756,SFO,153,13.15,56,24
10,17,1,AA,1358,ORD,867,21.58,125,21
8,12,5,AA,1765,ORD,258,19.25,65,88
6,13,0,UA,125,ORD,2846,9.87,394,-11
0,4,5,WN,157,SMF,397,8.67,80,NA
7,27,3,US,2175,LGA,214,13.00,68,18
11,24,3,OH,6798,JFK,187,19.17,94,6
6,3,4,B6,119,JFK,1182,14.83,193,-20
5,4,3,B6,115,JFK,1182,20.00,208,109
6,14,1,UA,186,SFO,2521,14.05,332,66
0,16,3,UA,182,ORD,606,15.92,116,23
1,26,2,OH,5381,JFK,288,8.53,108,-4
8,19,5,AA,1617,LGA,950,13.50,165,28
8,24,3,AA,337,ORD,1739,18.08,265,26
4,5,1,OO,5703,SJC,234,16.92,67,3
4,19,1,AA,1709,LGA,1097,20.25,180,210
8,26,5,OH,6687,ORD,740,17.37,164,41
6,26,6,UA,807,SFO,337,20.08,97,-17
1,5,2,AA,1677,ORD,1726,19.08,265,40
1,12,2,UA,473,ORD,1726,19.92,266,17
5,2,1,OO,5479,SFO,238,12.67,82,3
5,25,3,UA,109,ORD,1745,9.78,258,29
3,25,5,B6,153,JFK,944,16.83,180,-19
11,30,2,OO,4814,SFO,599,10.25,119,41
11,14,0,UA,673,LGA,733,9.00,159,-33
11,18,4,UA,673,LGA,733,9.00,158,34
2,14,5,B6,861,JFK,1005,21.67,178,21
6,27,0,UA,442,ORD,316,19.42,82,90
5,27,5,B6,130,JFK,301,18.67,103,57
3,21,1,UA,1530,ORD,1005,10.68,152,54
0,2,3,US,412,SFO,651,19.42,115,27
3,23,3,AA,406,ORD,647,10.33,110,47
7,14,4,HA,19,SMF,2462,8.75,315,31
1,4,1,AA,366,ORD,733,14.33,130,NA
0,2,3,UA,1499,ORD,1440,20.25,232,32
5,6,5,OO,6017,ORD,588,8.20,117,-6
7,21,4,OO,6142,SFO,372,15.47,93,NA
6,19,6,UA,929,ORD,1739,11.92,260,27
8,4,4,AA,1459,ORD,1745,8.58,260,-11
7,28,4,HA,177,OGG,100,14.05,34,-3
3,5,6,UA,532,ORD,867,10.67,136,-29
7,21,4,AA,382,ORD,733,10.17,135,59
0,22,2,B6,1604,JFK,274,12.08,76,-15
11,9,2,WN,445,SJC,296,15.58,60,25
1,25,1,US,2126,LGA,185,12.00,70,-6
5,27,5,OO,5703,SJC,234,16.88,62,69
0,9,3,OO,6150,SFO,363,17.67,80,18
11,25,4,UA,847,LGA,229,19.50,85,-21
11,23,2,OO,4872,SMF,532,16.33,95,214
11,30,2,OO,4659,ORD,606,12.83,119,40
2,16,0,UA,479,SFO,679,19.00,122,8
10,13,4,WN,2438,SJC,188,21.25,55,35
4,3,6,OO,5566,SFO,158,11.78,66,25
1,25,1,OO,5888,ORD,109,14.75,54,96
2,18,2,UA,53,JFK,2475,11.00,375,2
3,10,4,US,473,JFK,2248,9.67,343,-9
8,20,6,UA,670,ORD,733,7.08,128,-7
4,23,5,B6,174,SJC,2569,22.50,328,27
1,23,6,AA,3,JFK,2475,12.00,370,33
7,15,5,US,408,SFO,651,17.25,119,-5
8,19,5,WN,1477,SMF,1790,12.50,235,23
0,15,2,OO,6018,ORD,588,12.48,121,-30
1,14,4,UA,624,ORD,612,18.00,106,-12
0,12,6,AA,1276,SFO,1736,12.50,225,-19
4,20,2,OO,5871,ORD,911,18.00,152,-8
4,15,4,UA,478,SFO,1464,10.70,210,-4
8,19,5,AA,860,ORD,235,21.92,64,20
7,6,3,UA,315,LGA,1619,15.68,280,NA
3,16,3,B6,139,JFK,1028,14.00,175,-32
1,11,1,UA,1567,ORD,1515,20.37,240,15
2,13,4,B6,1136,JFK,209,12.08,79,-15
2,28,5,UA,170,SFO,2704,6.17,337,-21
2,25,2,AA,392,ORD,733,8.00,120,19
7,26,2,AA,1629,JFK,1090,16.48,210,5
3,15,2,UA,392,ORD,594,19.00,108,9
6,15,2,AA,1797,ORD,258,11.83,60,-8
1,11,1,AA,257,JFK,2248,16.33,355,33
5,12,4,AA,2361,ORD,802,21.83,129,96
7,17,0,OO,5564,SFO,86,19.70,47,13
6,5,6,WN,2326,SFO,337,9.92,80,-14
0,12,6,UA,852,SFO,447,13.70,89,16
3,4,5,OH,5131,LGA,478,8.95,130,81
7,4,1,AA,1637,ORD,1437,9.83,210,61
5,3,2,HA,157,OGG,100,12.08,34,0
1,13,3,UA,9,JFK,2586,21.02,404,88
6,6,0,B6,170,SJC,2569,12.67,345,68
8,19,5,B6,629,JFK,1428,16.75,248,7
11,12,5,AA,769,JFK,1597,6.50,235,25
2,31,1,OO,5915,ORD,299,6.82,71,15
4,8,4,WN,1775,SJC,296,16.75,60,-2
2,7,5,B6,395,LGA,950,14.92,176,70
2,19,3,UA,188,SFO,2521,22.33,320,6
8,20,6,AA,1041,ORD,1829,10.33,270,-6
0,29,2,WN,1751,SMF,389,10.58,75,11
10,22,6,WN,1106,SMF,647,16.33,110,84
2,12,3,WN,1198,SFO,651,6.42,120,-22
11,18,4,UA,322,SFO,679,10.57,129,63
6,30,3,UA,668,ORD,733,6.02,125,-21
10,12,3,UA,446,ORD,599,15.97,113,187
11,14,0,AA,2293,ORD,978,17.08,170,14
5,12,4,AA,2345,ORD,802,17.83,145,42
0,30,3,OO,6140,SFO,363,22.25,80,-3
1,19,2,UA,498,ORD,837,14.30,146,75
4,29,4,OH,5592,JFK,187,19.08,98,16
1,25,1,WN,3139,SMF,389,12.08,75,17
7,4,1,OO,5790,SFO,153,16.87,58,7
6,29,2,B6,357,JFK,2465,16.50,364,5
6,7,1,AA,380,ORD,733,10.83,135,23
9,15,3,OO,5474,SFO,250,8.98,78,-1
0,22,2,UA,540,ORD,867,18.00,139,94
4,6,2,AA,739,LGA,1389,11.83,225,16
6,1,2,OO,5479,SFO,238,12.57,85,66
2,16,0,UA,496,ORD,296,14.17,71,25
11,1,1,AA,502,SJC,1476,18.17,200,110
3,5,6,UA,55,SFO,2367,13.58,323,46
6,21,1,UA,41,SFO,2447,9.53,333,-3
8,17,3,B6,8,JFK,301,14.67,91,-12
9,11,6,WN,1996,SJC,948,9.92,150,-12
5,17,2,OH,5594,LGA,544,17.17,134,20
3,30,3,UA,508,ORD,763,16.90,123,-19
4,22,4,WN,2975,SFO,447,13.00,85,20
3,15,2,AA,1447,ORD,837,13.67,140,5
0,12,6,AA,2463,ORD,403,7.75,85,41
0,11,5,WN,2709,SMF,404,13.25,80,-4
9,26,0,US,1571,ORD,678,16.42,125,24
2,11,2,OO,4008,SMF,532,16.22,96,-17
7,26,2,OH,5523,LGA,431,8.00,104,-9
5,24,2,AA,1014,ORD,258,21.50,60,-12
6,1,2,UA,100,SFO,2419,12.58,315,28
10,30,0,UA,29,JFK,2475,18.92,387,164
3,12,6,B6,861,JFK,1005,21.67,178,83
7,21,4,WN,248,TUS,365,18.42,75,-4
7,7,4,B6,641,JFK,2586,8.17,379,63
1,11,1,UA,332,SMF,1781,13.52,240,31
6,15,2,UA,949,ORD,1721,17.82,267,76
2,6,4,US,2163,LGA,214,7.00,73,-12
7,22,5,OO,5720,SFO,78,8.30,44,-12
0,23,3,B6,371,LGA,1076,6.00,175,17
7,28,4,UA,279,LGA,1619,9.50,262,16
7,20,3,AA,1393,LGA,761,9.25,150,143
3,2,3,UA,27,JFK,2475,15.75,371,46
8,11,4,UA,6,SFO,2586,7.48,336,-19
11,23,2,B6,128,JFK,267,22.67,79,124
1,29,5,OH,5139,LGA,292,8.42,95,-11
0,31,4,UA,1512,SFO,651,11.25,117,-18
10,11,2,AA,1130,SJC,1829,7.33,260,-10
1,25,1,UA,514,ORD,865,18.25,142,244
2,7,5,UA,1146,ORD,240,19.50,68,NA
10,8,6,OH,6371,JFK,508,8.67,142,32
0,28,1,US,570,SFO,651,9.17,117,13
0,21,1,AA,319,LGA,733,10.58,165,49
6,7,1,OO,5728,SFO,304,17.25,93,98
11,20,6,UA,673,LGA,733,9.00,158,49
1,12,2,OO,6350,SFO,363,10.80,80,62
2,4,2,WN,2359,SMF,389,20.58,75,-13
0,21,1,UA,1506,SFO,651,18.22,117,48
3,24,4,AA,2189,LGA,1097,7.50,175,-14
11,19,5,UA,458,ORD,622,8.95,112,NA
0,14,1,UA,893,JFK,2586,8.50,403,NA
9,16,4,AA,2203,LGA,1097,6.00,175,8
7,3,0,UA,186,SFO,2521,14.08,332,-8
4,24,6,WN,1993,SMF,397,14.83,85,7
0,18,5,OO,6009,ORD,522,8.02,110,31
8,19,5,OO,6189,ORD,522,16.00,107,-18
8,5,5,OH,6687,ORD,740,17.37,164,-17
1,9,6,WN,387,TUS,1440,7.00,195,0
1,20,3,WN,3340,SJC,296,6.92,60,-7
8,13,6,UA,945,ORD,888,12.22,152,107
11,15,1,WN,2556,SFO,337,20.92,85,-6
11,1,1,AA,730,ORD,1182,12.75,180,157
0,16,3,US,605,ORD,1515,15.33,244,-34
7,13,3,AA,1957,SFO,337,20.25,85,60
11,12,5,OO,5478,SFO,250,10.80,81,65
1,6,3,US,2183,LGA,214,17.00,82,-18
0,12,6,B6,1075,JFK,288,11.42,93,-8
1,17,0,UA,242,ORD,849,13.20,129,NA
6,14,1,US,2187,LGA,214,19.00,73,-18
5,23,1,AA,1417,ORD,1515,14.75,225,-13
2,1,6,OH,5033,LGA,722,9.00,161,-36
3,11,5,B6,647,JFK,2586,18.50,405,137
1,29,5,WN,1489,SJC,621,18.17,110,-7
4,12,1,AA,1677,ORD,1726,18.83,260,20
5,18,3,WN,464,SJC,342,12.67,75,-1
10,7,5,AA,1704,ORD,719,6.58,115,-1
8,14,0,OO,6467,SMF,373,10.32,90,11
5,30,1,UA,331,ORD,1721,9.75,264,58
1,6,3,UA,31,SFO,2338,9.00,319,-17
7,26,2,US,961,SFO,2521,8.25,327,-17
4,7,3,OO,5946,ORD,588,15.42,111,NA
3,20,0,AA,1059,ORD,606,14.92,120,-21
6,17,4,UA,690,ORD,733,16.92,143,111
3,21,1,OO,6226,ORD,584,14.53,104,-9
8,30,2,AA,2057,ORD,2072,8.25,275,14
7,23,6,UA,139,ORD,1846,9.95,261,2
9,22,3,B6,608,JFK,274,22.50,81,3
9,13,1,UA,211,ORD,925,11.93,160,-3
7,10,0,UA,247,ORD,888,10.15,155,12
10,23,0,AA,15,JFK,2586,10.83,390,-20
9,19,0,B6,73,JFK,944,12.42,161,1
11,22,1,OO,6087,ORD,491,11.97,99,20
7,17,0,AA,755,ORD,1041,10.75,160,197
10,16,0,WN,988,SJC,333,12.33,70,-7
0,24,4,UA,669,LGA,733,7.00,156,-21
7,29,5,OO,5853,ORD,196,13.17,60,-7
7,7,4,OO,6124,ORD,235,16.17,79,54
6,27,0,OH,5435,LGA,563,11.00,119,11
3,29,2,B6,121,JFK,944,8.00,185,17
10,23,0,AA,1904,ORD,1197,17.83,180,6
0,4,5,UA,136,SFO,1846,9.75,254,182
4,22,4,UA,1160,ORD,678,10.62,119,-15
6,7,1,B6,290,SFO,599,17.42,110,-16
0,13,0,B6,918,ORD,740,19.00,139,NA
3,24,4,B6,39,JFK,1028,17.00,184,-25
5,15,0,UA,1629,ORD,1440,8.08,218,18
10,4,2,UA,617,ORD,1726,15.40,271,-18
7,13,3,OO,5817,ORD,196,21.17,60,-6
5,18,3,AA,73,ORD,4243,9.00,540,19
5,29,0,UA,207,ORD,1846,9.08,267,NA
8,8,1,WN,1676,SFO,337,21.17,85,16
1,9,6,AA,1547,ORD,177,15.25,55,-6
1,22,5,AQ,215,OGG,100,15.17,34,10
5,11,3,UA,1550,SFO,414,18.35,94,105
1,18,1,AA,1917,JFK,944,15.75,180,72
2,5,3,AA,1174,SJC,1829,13.00,255,26
3,13,0,OH,5422,ORD,740,7.17,142,23
10,12,3,UA,671,ORD,925,20.08,167,151
2,23,0,AA,1311,ORD,678,11.83,115,-7
6,26,6,UA,597,ORD,334,20.08,82,8
4,17,6,OO,5450,SFO,77,15.17,42,28
6,22,2,B6,904,ORD,740,9.58,130,-23
0,8,2,B6,115,JFK,1182,19.58,225,-32
8,16,2,B6,615,JFK,829,13.42,149,-17
4,21,3,WN,3418,SMF,397,7.92,80,-10
8,10,3,UA,802,SJC,948,6.33,160,-13
0,4,5,OO,5863,ORD,438,8.53,99,-8
0,14,1,B6,63,JFK,1005,6.00,170,9
2,14,5,WN,702,SMF,404,15.92,85,19
4,18,0,UA,683,LGA,733,14.00,150,-21
10,12,3,US,2122,LGA,185,10.00,70,6
0,23,3,UA,158,SFO,1846,23.25,238,-6
11,24,3,AA,345,LGA,733,17.48,170,23
2,23,0,UA,8,SFO,2586,9.53,324,4
2,16,0,WN,1377,TUS,451,7.50,95,-9
9,22,3,AA,358,ORD,733,16.00,140,66
9,11,6,OH,6673,JFK,213,13.00,85,-10
7,1,5,UA,460,ORD,723,13.87,120,78
0,3,4,WN,1924,SFO,414,16.33,90,266
9,15,3,AA,1358,ORD,867,21.00,135,32
1,4,1,AA,1425,ORD,1726,9.50,260,21
5,21,6,OO,6517,TUS,451,5.00,93,5
0,26,6,OO,6024,ORD,157,16.67,55,121
3,9,3,OO,5904,ORD,224,18.67,62,-4
7,10,0,OO,5564,SFO,86,19.58,47,0
1,1,5,UA,536,ORD,867,13.98,139,62
11,2,2,AA,2099,ORD,1745,7.08,270,-11
3,18,5,OH,5483,LGA,647,15.97,145,57
6,22,2,OH,5041,LGA,1011,18.98,189,52
9,1,3,WN,1361,SJC,417,21.67,80,-6
0,4,5,OO,5914,ORD,67,13.17,44,4
5,14,6,UA,945,ORD,888,12.18,157,30
5,17,2,AA,309,LGA,733,7.83,140,2
3,1,2,UA,679,ORD,1723,15.25,256,25
6,17,4,UA,628,ORD,612,20.83,107,5
10,26,3,WN,3033,SJC,417,14.33,75,1
9,26,0,UA,1453,ORD,837,20.12,139,8
0,4,5,OO,4068,SFO,599,12.67,111,NA
8,2,2,AA,363,LGA,733,19.42,150,-20
0,17,4,AA,1544,SFO,1846,10.92,260,60
10,21,5,WN,1153,SJC,296,18.25,60,67
0,15,2,AA,2305,ORD,802,7.58,150,13
6,14,1,AA,454,ORD,647,18.25,115,28
3,22,2,UA,610,ORD,612,11.08,103,66
5,10,2,WN,2427,SJC,296,8.58,65,-9
1,26,2,OO,3910,SMF,532,9.92,100,-4
8,11,4,AA,2296,ORD,678,11.42,115,-2
3,6,0,UA,693,LGA,733,19.00,156,44
0,17,4,AA,353,LGA,733,19.48,160,151
2,27,4,OO,5866,ORD,466,15.58,102,48
3,19,6,OH,4941,JFK,213,12.25,89,31
7,9,6,OO,3916,SFO,599,17.72,107,-2
5,4,3,UA,482,SFO,967,19.58,136,20
3,8,2,US,784,SFO,2296,22.67,294,-21
11,21,0,AA,1324,SFO,1846,6.00,255,-7
3,4,5,AA,321,LGA,733,11.75,164,NA
10,11,2,UA,34,OGG,2338,14.50,294,0
10,1,6,OO,5450,SFO,77,15.08,45,266
4,6,2,OO,6051,ORD,177,11.13,65,-18
7,17,0,UA,350,ORD,642,13.17,120,121
6,19,6,B6,15,JFK,1069,16.58,191,81
11,26,5,OO,6023,ORD,491,15.80,103,23
6,19,6,AA,1339,ORD,1723,18.33,255,108
7,19,2,UA,540,ORD,867,18.08,144,-20
2,9,0,OH,5525,LGA,866,22.00,163,17
6,5,6,OO,6369,TUS,751,6.43,134,-21
7,1,5,WN,468,SFO,337,6.92,80,-6
11,29,1,B6,9,JFK,1069,14.98,194,48
3,19,6,AA,2250,SJC,1438,8.92,205,-8
0,4,5,AA,2085,ORD,403,16.92,90,27
1,3,0,OO,6062,ORD,67,16.05,48,147
2,19,3,AA,1487,ORD,1671,10.00,250,22
4,2,5,OO,6820,ORD,978,17.17,161,247
0,1,2,UA,139,ORD,1846,10.00,280,63
5,23,1,WN,2504,SJC,308,10.33,75,0
2,25,2,UA,598,SFO,967,7.98,151,-22
1,19,2,OO,5449,SFO,86,16.17,41,309
0,13,0,UA,707,ORD,888,6.00,157,-20
11,9,2,UA,710,SFO,192,22.58,64,-7
7,11,1,OO,4007,ORD,1249,13.25,216,-17
9,30,4,B6,1006,JFK,187,12.17,72,-11
1,27,3,UA,139,ORD,1846,9.75,270,-3
7,3,0,UA,941,ORD,1745,16.98,261,NA
10,14,5,OO,6416,SFO,896,12.05,137,3
10,6,4,UA,73,SFO,2398,9.08,325,-7
1,17,0,AA,1521,ORD,1437,19.50,230,NA
4,16,5,US,1247,LGA,544,8.25,120,-3
10,18,2,OO,5564,SFO,86,19.42,43,1
1,27,3,UA,73,SFO,2398,8.98,331,-19
3,1,2,AA,714,TUS,1437,17.17,195,44
3,28,1,WN,1097,SMF,647,16.33,105,7
0,21,1,UA,1497,ORD,1440,17.77,232,65
3,28,1,OO,6672,ORD,174,16.15,55,144
3,2,3,WN,323,SMF,389,10.58,75,-2
4,1,4,AA,739,LGA,1389,11.83,225,30
2,21,5,AA,2348,ORD,334,16.00,95,NA
2,30,0,B6,128,JFK,267,22.92,79,12
2,19,3,AA,682,SJC,1438,7.58,205,-2
1,17,0,UA,785,SFO,447,20.18,87,19
11,2,2,B6,10,JFK,301,20.92,101,-11
2,2,0,AA,510,ORD,235,19.00,75,20
8,2,2,OO,5862,ORD,222,13.07,62,-17
4,24,6,OO,5450,SFO,77,15.17,42,115
1,10,0,OO,6350,SFO,363,10.80,80,5
5,6,5,OH,5131,LGA,478,8.67,120,27
0,3,4,WN,361,SJC,308,18.92,70,26
10,25,2,UA,1220,SJC,948,7.20,160,-8
10,17,1,OO,6503,SFO,451,19.05,90,-11
3,10,4,AA,257,JFK,2248,16.42,330,17
5,15,0,AA,810,ORD,612,13.83,110,84
0,18,5,UA,793,ORD,334,12.25,89,-19
0,3,4,AA,751,LGA,1389,14.58,245,29
6,16,3,WN,2296,SMF,1790,7.00,235,35
9,26,0,B6,12,JFK,209,15.33,85,-18
6,13,0,WN,3598,SFO,447,10.75,85,92
1,11,1,UA,496,ORD,296,14.25,71,52
